Date,Id,In-Time,Out-Time
2017-05-22,E0LN08,9:08:06,18:10:20
2017-05-23,E0LN08,9:13:33,18:04:37
2017-05-24,E0LN08,9:15:35,18:04:19
2017-05-25,E0LN08,9:16:57,17:47:05
2017-05-26,E0LN08,10:06:43,16:56:47
2017-05-29,E0LN08,8:50:30,18:07:10
2017-05-30,E0LN08,11:04:05,16:29:12
2017-05-31,E0LN08,9:34:20,18:09:13
2017-06-01,E0LN08,11:13:13,15:29:57
2017-06-02,E0LN08,9:24:08,18:02:14
2017-06-07,E0LN08,9:09:42,18:04:18
2017-06-08,E0LN08,9:01:29,17:49:08
2017-06-09,E0LN08,9:30:53,18:07:02
2017-06-12,E0LN08,9:15:58,18:08:06
2017-06-13,E0LN08,8:33:05,17:50:25
2017-06-14,E0LN08,9:21:21,15:59:31
2017-06-15,E0LN08,12:38:56,18:00:43
2017-06-16,E0LN08,9:13:06,18:22:04
2017-06-19,E0LN08,9:36:50,18:03:21
2017-06-20,E0LN08,9:07:05,18:00:54
2017-06-21,E0LN08,9:12:33,18:03:19
2017-06-22,E0LN08,10:39:06,17:49:27
2017-06-23,E0LN08,9:25:39,18:05:28
2017-06-26,E0LN08,11:28:41,17:50:06
2017-06-29,E0LN08,9:03:59,18:09:21
2017-06-30,E0LN08,9:42:07,18:05:30
2017-07-03,E0LN08,9:48:16,18:14:41
2017-07-04,E0LN08,9:26:43,18:08:27
2017-07-05,E0LN08,9:28:01,18:09:26
2017-07-06,E0LN08,9:25:45,17:24:38
2017-07-07,E0LN08,9:36:02,18:10:12
2017-07-10,E0LN08,9:25:39,18:03:04
2017-07-11,E0LN08,9:18:55,18:04:47
2017-07-12,E0LN08,9:06:17,18:09:36
2017-07-13,E0LN08,9:11:21,18:02:16
2017-07-14,E0LN08,10:36:51,18:00:57
2017-07-17,E0LN08,9:19:31,17:54:23
2017-07-18,E0LN08,9:11:02,18:15:04
2017-07-19,E0LN08,9:19:10,18:05:16
2017-07-20,E0LN08,9:03:38,18:10:50
2017-07-21,E0LN08,9:24:39,18:18:31
2017-07-24,E0LN08,9:40:23,18:05:56
2017-07-25,E0LN08,9:15:41,18:08:19
2017-07-26,E0LN08,10:52:20,18:10:06
2017-07-31,E0LN08,9:19:35,18:08:11
2017-08-01,E0LN08,9:26:37,18:01:15
2017-08-03,E0LN08,9:15:39,18:12:08
2017-08-04,E0LN08,14:06:39,18:14:42
2017-08-07,E0LN08,9:23:23,18:02:06
2017-08-08,E0LN08,8:56:35,18:16:02
2017-08-09,E0LN08,8:53:32,18:06:07
2017-08-10,E0LN08,9:31:48,18:09:37
2017-08-11,E0LN08,9:04:21,14:08:15
2017-08-15,E0LN08,8:57:34,18:13:34
2017-08-16,E0LN08,9:26:10,18:07:43
2017-08-17,E0LN08,9:18:44,18:09:11
2017-08-18,E0LN08,9:12:56,13:48:26
2017-08-21,E0LN08,9:17:28,18:08:53
2017-08-22,E0LN08,9:24:44,16:32:02
2017-08-23,E0LN08,10:33:04,16:14:54
2017-08-24,E0LN08,9:06:54,18:02:12
2017-08-25,E0LN08,8:41:34,17:37:50
2017-08-28,E0LN08,8:58:55,18:05:15
2017-08-29,E0LN08,9:09:13,18:10:46
2017-08-30,E0LN08,9:13:26,18:06:27
2017-08-31,E0LN08,9:03:40,17:50:12
2017-09-06,E0LN08,8:41:19,17:32:34
2017-09-07,E0LN08,8:59:26,13:37:43
2017-09-08,E0LN08,8:45:52,12:04:14
2017-09-11,E0LN08,9:19:51,16:06:30
2017-10-11,E0LN08,9:27:28,18:04:58
2017-10-12,E0LN08,9:04:51,17:30:57
2017-10-13,E0LN08,9:19:07,16:31:17
2017-10-16,E0LN08,8:52:40,17:46:16
2017-10-17,E0LN08,9:18:32,13:44:21
2017-10-25,E0LN08,9:16:47,16:36:53
2017-10-26,E0LN08,9:31:07,17:46:42
2017-10-27,E0LN08,9:34:33,17:09:49
2017-10-30,E0LN08,9:19:52,17:13:44
2017-11-01,E0LN08,9:30:24,17:46:04
2017-11-02,E0LN08,9:20:34,17:53:38
2017-11-03,E0LN08,9:20:21,17:44:37
2017-11-06,E0LN08,9:26:24,17:51:19
2017-11-07,E0LN08,9:26:46,18:14:38
2017-11-09,E0LN08,9:38:50,18:11:00
2017-11-10,E0LN08,9:18:08,17:46:38
2017-11-13,E0LN08,9:27:53,18:17:37
2017-11-14,E0LN08,9:31:16,17:51:09
2017-11-15,E0LN08,9:57:40,17:45:04
2017-11-16,E0LN08,9:38:04,17:47:32
2017-11-17,E0LN08,9:23:47,14:40:15
2017-11-20,E0LN08,9:16:36,18:02:27
2017-11-21,E0LN08,9:29:21,17:54:43
2017-11-22,E0LN08,9:19:07,18:06:57
2017-11-23,E0LN08,9:44:05,17:46:20
2017-11-28,E0LN08,9:24:44,17:17:03
2017-11-29,E0LN08,9:48:27,17:54:11
2017-11-30,E0LN08,9:38:23,17:48:21
2017-12-01,E0LN08,9:41:26,17:47:41
2017-12-04,E0LN08,9:37:27,17:46:44
2017-12-05,E0LN08,9:34:01,16:58:23
2017-12-06,E0LN08,9:22:04,17:03:23
2017-12-08,E0LN08,10:04:17,15:17:26
2017-05-22,XLY618,12:59:13,22:02:23
2017-05-23,XLY618,13:08:44,22:11:03
2017-05-24,XLY618,12:58:01,22:02:54
2017-05-25,XLY618,13:03:26,22:18:36
2017-05-26,XLY618,10:00:58,17:46:35
2017-05-29,XLY618,13:07:25,22:02:22
2017-05-30,XLY618,12:43:40,22:06:52
2017-05-31,XLY618,13:13:49,22:32:09
2017-06-01,XLY618,13:06:12,22:22:28
2017-06-02,XLY618,9:50:29,18:20:44
2017-06-05,XLY618,13:02:45,21:59:27
2017-06-06,XLY618,12:59:00,22:27:54
2017-06-07,XLY618,13:21:13,22:08:06
2017-06-08,XLY618,13:06:17,22:08:09
2017-06-09,XLY618,9:49:32,18:09:07
2017-06-12,XLY618,12:59:03,21:55:56
